Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min
Формовой_batch_1,Комбинирование,0,21,21
Формовой_batch_2,Комбинирование,0,21,21
Формовой_batch_1,Смешивание,21,33,12
Формовой_batch_2,Смешивание,21,33,12
Формовой_batch_3,Комбинирование,21,42,21
Формовой_batch_4,Комбинирование,21,42,21
Формовой_batch_1,Формовка,33,44,11
Формовой_batch_2,Формовка,33,44,11
Формовой_batch_3,Смешивание,42,54,12
Формовой_batch_4,Смешивание,42,54,12
Формовой_batch_5,Комбинирование,42,63,21
Формовой_batch_6,Комбинирование,42,63,21
Формовой_batch_1,Расстойка,44,69,25
Формовой_batch_2,Расстойка,44,69,25
Формовой_batch_3,Формовка,54,65,11
Формовой_batch_4,Формовка,54,65,11
Формовой_batch_5,Смешивание,63,75,12
Формовой_batch_6,Смешивание,63,75,12
Формовой_batch_7,Комбинирование,63,84,21
Формовой_batch_8,Комбинирование,63,84,21
Формовой_batch_3,Расстойка,65,90,25
Формовой_batch_4,Расстойка,65,90,25
Формовой_batch_1,Выпекание,69,114,45
Формовой_batch_2,Выпекание,69,114,45
Формовой_batch_5,Формовка,75,86,11
Формовой_batch_6,Формовка,75,86,11
Формовой_batch_10,Комбинирование,84,105,21
Формовой_batch_7,Смешивание,84,96,12
Формовой_batch_8,Смешивание,84,96,12
Формовой_batch_9,Комбинирование,84,105,21
Формовой_batch_5,Расстойка,86,111,25
Формовой_batch_6,Расстойка,86,111,25
Формовой_batch_3,Выпекание,90,135,45
Формовой_batch_4,Выпекание,90,135,45
Формовой_batch_7,Формовка,96,107,11
Формовой_batch_8,Формовка,96,107,11
Формовой_batch_10,Смешивание,105,117,12
Формовой_batch_11,Комбинирование,105,126,21
Формовой_batch_12,Комбинирование,105,126,21
Формовой_batch_9,Смешивание,105,117,12
Формовой_batch_7,Расстойка,107,132,25
Формовой_batch_8,Расстойка,107,132,25
Формовой_batch_5,Выпекание,111,156,45
Формовой_batch_6,Выпекание,111,156,45
Формовой_batch_1,Остывание,114,204,90
Формовой_batch_2,Остывание,114,204,90
Формовой_batch_10,Формовка,117,128,11
Формовой_batch_9,Формовка,117,128,11
Формовой_batch_11,Смешивание,126,138,12
Формовой_batch_12,Смешивание,126,138,12
Формовой_batch_13,Комбинирование,126,147,21
Формовой_batch_14,Комбинирование,126,147,21
Формовой_batch_10,Расстойка,128,153,25
Формовой_batch_9,Расстойка,128,153,25
Формовой_batch_7,Выпекание,132,177,45
Формовой_batch_8,Выпекание,132,177,45
Формовой_batch_3,Остывание,135,225,90
Формовой_batch_4,Остывание,135,225,90
Формовой_batch_11,Формовка,138,149,11
Формовой_batch_12,Формовка,138,149,11
Формовой_batch_13,Смешивание,147,159,12
Формовой_batch_14,Смешивание,147,159,12
Формовой_batch_15,Комбинирование,147,168,21
Формовой_batch_16,Комбинирование,147,168,21
Формовой_batch_11,Расстойка,149,174,25
Формовой_batch_12,Расстойка,149,174,25
Формовой_batch_10,Выпекание,153,198,45
Формовой_batch_9,Выпекание,153,198,45
Формовой_batch_5,Остывание,156,246,90
Формовой_batch_6,Остывание,156,246,90
Формовой_batch_13,Формовка,159,170,11
Формовой_batch_14,Формовка,159,170,11
Формовой_batch_15,Смешивание,168,180,12
Формовой_batch_16,Смешивание,168,180,12
Формовой_batch_17,Комбинирование,168,189,21
Формовой_batch_18,Комбинирование,168,189,21
Формовой_batch_13,Расстойка,170,195,25
Формовой_batch_14,Расстойка,170,195,25
Формовой_batch_11,Выпекание,174,219,45
Формовой_batch_12,Выпекание,174,219,45
Формовой_batch_7,Остывание,177,267,90
Формовой_batch_8,Остывание,177,267,90
Формовой_batch_15,Формовка,180,191,11
Формовой_batch_16,Формовка,180,191,11
Формовой_batch_17,Смешивание,189,201,12
Формовой_batch_18,Смешивание,189,201,12
Формовой_batch_19,Комбинирование,189,210,21
Формовой_batch_20,Комбинирование,189,210,21
Формовой_batch_15,Расстойка,191,216,25
Формовой_batch_16,Расстойка,191,216,25
Формовой_batch_13,Выпекание,195,240,45
Формовой_batch_14,Выпекание,195,240,45
Формовой_batch_10,Остывание,198,288,90
Формовой_batch_9,Остывание,198,288,90
Формовой_batch_17,Формовка,201,212,11
Формовой_batch_18,Формовка,201,212,11
Мини формовой_batch_22,Комбинирование,210,231,21
Формовой_batch_19,Смешивание,210,222,12
Формовой_batch_20,Смешивание,210,222,12
Формовой_batch_21,Комбинирование,210,228,18
Формовой_batch_17,Расстойка,212,237,25
Формовой_batch_18,Расстойка,212,237,25
Формовой_batch_15,Выпекание,216,261,45
Формовой_batch_16,Выпекание,216,261,45
Формовой_batch_11,Остывание,219,309,90
Формовой_batch_12,Остывание,219,309,90
Формовой_batch_19,Формовка,222,233,11
Формовой_batch_20,Формовка,222,233,11
Мини формовой_batch_23,Комбинирование,228,249,21
Формовой_batch_21,Смешивание,228,240,12
Мини формовой_batch_22,Смешивание,231,243,12
Мини формовой_batch_24,Комбинирование,231,252,21
Формовой_batch_19,Расстойка,233,258,25
Формовой_batch_20,Расстойка,233,258,25
Формовой_batch_17,Выпекание,237,282,45
Формовой_batch_18,Выпекание,237,282,45
Формовой_batch_13,Остывание,240,330,90
Формовой_batch_14,Остывание,240,330,90
Формовой_batch_21,Формовка,240,250,10
Мини формовой_batch_22,Формовка,243,254,11
Мини формовой_batch_23,Смешивание,249,261,12
Мини формовой_batch_25,Комбинирование,249,266,17
Формовой_batch_21,Расстойка,250,275,25
Бородинский_batch_26,Комбинирование,252,273,21
Мини формовой_batch_24,Смешивание,252,264,12
Мини формовой_batch_22,Расстойка,254,279,25
Формовой_batch_19,Выпекание,258,303,45
Формовой_batch_20,Выпекание,258,303,45
Мини формовой_batch_23,Формовка,261,272,11
Формовой_batch_15,Остывание,261,351,90
Формовой_batch_16,Остывание,261,351,90
Мини формовой_batch_24,Формовка,264,275,11
Бородинский_batch_27,Комбинирование,266,287,21
Мини формовой_batch_25,Смешивание,266,278,12
Мини формовой_batch_23,Расстойка,272,297,25
Бородинский_batch_26,Смешивание,273,283,10
Бородинский_batch_28,Комбинирование,273,294,21
Мини формовой_batch_24,Расстойка,275,300,25
Формовой_batch_21,Выпекание,275,320,45
